year,count
0,21
860,1
1399,1
1490,1
1491,1
1575,1
1583,1
1600,1
1621,1
1623,1
1628,1
1632,1
1637,1
1668,1
1671,1
1688,1
1715,1
1716,1
1723,1
1724,1
1740,1
1741,1
1749,1
1751,1
1753,2
1766,1
1768,2
1773,1
1775,1
1776,1
1781,1
1784,2
1785,1
1787,1
1790,1
1792,1
1793,1
1794,1
1795,2
1796,2
1797,1
1798,2
1803,3
1804,5
1805,3
1806,1
1807,2
1808,5
1809,1
1810,5
1811,3
1812,4
1813,2
1814,5
1815,2
1817,1
1818,5
1819,3
1820,1
1821,1
1822,6
1823,2
1824,3
1825,3
1826,3
1827,3
1828,2
1829,4
1830,2
1831,2
1832,1
1833,1
1834,3
1835,2
1836,5
1837,5
1838,7
1839,5
1840,7
1841,4
1842,4
1843,6
1844,4
1845,3
1846,7
1847,5
1848,4
1849,3
1850,8
1851,3
1852,8
1853,5
1854,9
1855,9
1856,6
1857,10
1858,8
1859,5
1860,11
1861,6
1862,3
1863,15
1864,4
1865,8
1866,12
1867,8
1868,16
1869,12
1870,6
1871,7
1872,6
1873,9
1874,6
1875,13
1876,9
1877,9
1878,9
1879,14
1880,14
1881,9
1882,9
1883,10
1884,11
1885,7
1886,10
1887,21
1888,15
1889,15
1890,20
1891,10
1892,11
1893,12
1894,10
1895,10
1896,9
1897,12
1898,17
1899,14
1900,16
1901,9
1902,12
1903,22
1904,10
1905,14
1906,13
1907,16
1908,13
1909,10
1910,19
1911,11
1912,11
1913,11
1914,18
1915,13
1916,19
1917,19
1918,15
1919,14
1920,14
1921,18
1922,15
1923,16
1924,18
1925,16
1926,13
1927,16
1928,16
1929,15
1930,18
1931,17
1932,25
1933,30
1934,26
1935,19
1936,35
1937,52
1938,44
1939,32
1940,37
1941,23
1942,20
1943,9
1944,18
1945,10
1946,12
1947,17
1948,19
1949,21
1950,36
1951,19
1952,16
1953,9
1954,21
1955,21
1956,25
1957,17
1958,18
1959,16
1960,26
1961,26
1962,35
1963,27
1964,29
1965,43
1966,23
1967,34
1968,37
1969,38
1970,37
1971,39
1972,29
1973,15
1974,26
1975,28
1976,38
1977,34
1978,21
1979,21
1980,26
1981,31
1982,14
1983,34
1984,26
1985,17
1986,29
1987,12
1988,14
1989,23
1990,28
1991,35
1992,22
1993,8
1994,26
1995,20
1996,11
1997,24
1998,36
1999,47
2000,50
2001,32
2002,41
2003,39
2004,29
2005,20
2006,27
2007,23
2008,29
2009,20
2010,20
2011,21
2012,7
2013,1
